,Prediction Number of Booking,Time
0,1.6952863071894673,0
1,0.8015213766102768,1
2,0.4797719986842861,2
3,0.8689503496970636,3
4,0.7780750937495495,4
5,0.26506141122860516,5
6,0.27434958462909315,6
7,0.7275909510359986,7
8,0.7247167069005791,8
9,0.7902589864979512,9
10,0.44018582907125225,10
11,0.3255649867777138,11
12,0.20183198057764531,12
13,0.5607531408041971,13
14,1.7153051462891045,14
15,1.1236522597671736,15
16,2.219373274457033,16
17,2.177995666221285,17
18,2.5313799250193094,18
19,2.269720552250343,19
20,1.6588898345830987,20
21,1.4633861899833887,21
22,1.2539576321076717,22
23,1.0324628875037196,23
